"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestorWithAdaptiveBehavior.nlogo"
"expVarProfitMultiplier"
"01/22/2013 17:00:39:974 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","profitMultiplier","[step]","mean [w] of turtles"
"19","0.5","2","7546.195"
"17","0.5","21","72850.535"
"16","0.5","9","33719.41"
"17","0.5","22","75911.9"
"19","0.5","3","11272.4"
"16","0.5","10","37093.24"
"17","0.5","23","78976.485"
"19","0.5","4","15038.845"
"16","0.5","11","40635.915"
"17","0.5","24","82080.13"
"19","0.5","5","18666.185"
"16","0.5","12","44083.48"
"19","0.5","6","22020.41"
"18","0.5","0","0"
"16","0.5","13","47289.11"
"19","0.5","7","25440.345"
"19","0.5","8","28976.65"
"16","0.5","14","50446.485"
"18","0.5","1","3735.285"
"19","0.5","9","32244.17"
"16","0.5","15","53586.12"
"20","0.5","0","0"
"18","0.5","2","7638.85"
"19","0.5","10","35575.8"
"20","0.5","1","4029.045"
"16","0.5","16","56859.095"
"19","0.5","11","38820.015"
"18","0.5","3","11465.425"
"20","0.5","2","8129.84"
"19","0.5","12","42010.99"
"16","0.5","17","59983.19"
"20","0.5","3","12243.81"
"19","0.5","13","45422.45"
"16","0.5","18","63136.755"
"20","0.5","4","16289.52"
"19","0.5","14","48597.72"
"20","0.5","5","20310.765"
"16","0.5","19","66179.575"
"19","0.5","15","51845.595"
"20","0.5","6","24172.78"
"16","0.5","20","69284.695"
"19","0.5","16","55093.055"
"20","0.5","7","28082.595"
"16","0.5","21","72350.465"
"19","0.5","17","58341.125"
"20","0.5","8","31913.395"
"19","0.5","18","61523.71"
"16","0.5","22","75457.03"
"20","0.5","9","35733.41"
"20","0.5","10","39436.855"
"19","0.5","19","64664.9"
"16","0.5","23","78454.585"
"20","0.5","11","43091.005"
"19","0.5","20","67751.815"
"16","0.5","24","81609.14"
"20","0.5","12","46586.14"
"19","0.5","21","70756.845"
"20","0.5","13","50104.395"
"20","0.5","14","53719.845"
"20","0.5","15","57288.66"
"20","0.5","16","60873.53"
"19","0.5","22","73896.385"
"20","0.5","17","64233.305"
"20","0.5","18","67724.155"
"19","0.5","23","77040.575"
"20","0.5","19","70969.52"
"20","0.5","20","74106.655"
"20","0.5","21","77496.38"
"19","0.5","24","80128.52"
"20","0.5","22","80732.51"
"20","0.5","23","84119.975"
"20","0.5","24","87304.775"
"21","0.5","0","0"
"18","0.5","4","15280.57"
"21","0.5","1","3785.315"
"18","0.5","5","18943.95"
"21","0.5","2","7678.225"
"21","0.5","3","11610.45"
"22","0.5","0","0"
"18","0.5","6","22527.12"
"23","0.5","0","0"
"21","0.5","4","15586.075"
"22","0.5","1","4110.215"
"23","0.5","1","3934.065"
"22","0.5","2","7912.035"
"21","0.5","5","19355.195"
"18","0.5","7","26162.995"
"22","0.5","3","11766.615"
"23","0.5","2","7846.925"
"21","0.5","6","23265.705"
"18","0.5","8","29570.79"
"22","0.5","4","15496.06"
"21","0.5","7","26940.36"
"23","0.5","3","11798.21"
"22","0.5","5","19244.695"
"21","0.5","8","30513.315"
"23","0.5","4","15642.165"
"22","0.5","6","22973.68"
"21","0.5","9","34028.895"
"23","0.5","5","19273.33"
"22","0.5","7","26661.48"
"21","0.5","10","37435.07"
"22","0.5","8","30439.225"
"23","0.5","6","23103.125"
"21","0.5","11","40875.435"
"22","0.5","9","33880.29"
"23","0.5","7","26716.465"
"21","0.5","12","44277.06"
"22","0.5","10","37482.4"
"23","0.5","8","30230.605"
"21","0.5","13","47817.645"
"22","0.5","11","40944.495"
"21","0.5","14","51084.355"
"23","0.5","9","33701.83"
"21","0.5","15","54388.865"
"22","0.5","12","44296.32"
"23","0.5","10","37216.85"
"21","0.5","16","57711.155"
"22","0.5","13","47590.82"
"23","0.5","11","40886.985"
"21","0.5","17","60932.755"
"22","0.5","14","50899.27"
"23","0.5","12","44237.97"
"21","0.5","18","64221.8"
"22","0.5","15","54185.865"
"18","0.5","9","32918.745"
"21","0.5","19","67559.925"
"22","0.5","16","57374.605"
"23","0.5","13","47641.38"
"21","0.5","20","70904.035"
"22","0.5","17","60490.005"
"18","0.5","10","36420.075"
"23","0.5","14","51020.01"
"22","0.5","18","63648.755"
"21","0.5","21","74066.135"
"18","0.5","11","39914.125"
"22","0.5","19","66670.685"
"21","0.5","22","77303.595"
"23","0.5","15","54442.565"
"22","0.5","20","69870.9"
"21","0.5","23","80490.19"
"23","0.5","16","57655.935"
"18","0.5","12","43378.015"
"22","0.5","21","72941.32"
"21","0.5","24","83622.805"
"22","0.5","22","76031.165"
"18","0.5","13","46872.245"
